Date	Open	High	Low	Close	Volume
12/31/21	610.01 	614.08 	602.05 	602.44 	1995918
12/30/21	612.99 	620.61 	611.24 	612.09 	1625093
12/29/21	610.71 	613.98 	604.68 	610.54 	1287513
12/28/21	614.95 	618.41 	609.69 	610.71 	1884116
12/27/21	615 	615 	609.25 	613.12 	2062233
12/23/21	616.40 	616.88 	607.57 	614.09 	1621146
12/22/21	603.36 	614.82 	602.63 	614.24 	2335745
12/21/21	597.54 	607.82 	593.86 	604.92 	2319390
12/20/21	586.43 	602.88 	584.26 	593.74 	3358404
12/17/21	591.61 	593.25 	581.74 	586.73 	4433706
12/16/21	597.09 	602.83 	588 	591.06 	3143217
12/15/21	598.18 	605.69 	584.51 	605.04 	2866196
12/14/21	598.71 	602.29 	588.13 	597.99 	2984536
12/13/21	612 	612.64 	599.52 	604.56 	2517915
12/10/21	616.78 	617.74 	605.88 	611.66 	2748774
12/9/21	627.58 	630.24 	610.44 	611 	2376321
12/8/21	630 	632.46 	623.20 	628.08 	2220308
12/7/21	619.83 	628.89 	611.40 	625.58 	3125190
12/6/21	606.01 	617.29 	601 	612.69 	3075672
12/3/21	622.75 	625.50 	594 	602.13 	4829282
12/2/21	617.10 	625.36 	612.88 	616.47 	3331131
12/1/21	649.48 	654.52 	617.07 	617.77 	3897019
11/30/21	668.20 	675.38 	640.01 	641.90 	5608919
11/29/21	663.20 	667.99 	658.29 	663.84 	2529364
11/26/21	675 	676.41 	660.67 	665.64 	2872513
11/24/21	658.01 	661.44 	651.10 	658.29 	1867282
11/23/21	658.18 	666.43 	646.05 	654.06 	2320917
11/22/21	676.02 	679.48 	656.47 	659.20 	2765318
11/19/21	692.35 	694.16 	675 	678.80 	2614852
11/18/21	691.61 	691.74 	679.74 	682.02 	2014992
11/17/21	690 	700.99 	686.09 	691.69 	2732831
11/16/21	678.27 	688.36 	676.90 	687.40 	2077387
11/15/21	681.24 	685.26 	671.49 	679.33 	2872186
11/12/21	660.01 	683.34 	653.82 	682.61 	4198410
11/11/21	650.24 	665.82 	649.71 	657.58 	2868311
11/10/21	653.01 	660.33 	642.11 	646.91 	2405785
11/9/21	653.70 	660.50 	650.52 	655.99 	2415630
11/8/21	650.29 	656 	643.79 	651.45 	2887523
11/5/21	663.97 	665.64 	645.01 	645.72 	5283488
11/4/21	685.89 	685.94 	665.50 	668.40 	4865023
11/3/21	677.27 	689.39 	677.27 	688.29 	2334852
11/2/21	683.11 	687.68 	673.82 	677.72 	3888597
11/1/21	689.06 	689.97 	676.54 	681.17 	3110911
10/29/21	673.06 	690.97 	671.24 	690.31 	3825279
10/28/21	670.95 	676.80 	668.03 	674.05 	2859409
10/27/21	669 	671.41 	661.85 	662.92 	2276914
10/26/21	673.76 	676.49 	662.77 	668.52 	2904840
10/25/21	663.74 	675.88 	657.07 	671.66 	3833526
10/22/21	651.81 	665.46 	651.81 	664.78 	6186016
10/21/21	628.89 	654.01 	628.65 	653.16 	8437070
10/20/21	625.57 	637.40 	617.15 	625.14 	10622000
10/19/21	636.97 	641 	632.30 	639 	7633147
10/18/21	632.10 	638.41 	620.59 	637.97 	4669071
10/15/21	638 	639.42 	625.16 	628.29 	4116874
10/14/21	632.23 	636.88 	626.79 	633.80 	2672535
10/13/21	632.18 	632.18 	622.10 	629.76 	2424638
10/12/21	633.02 	637.66 	621.99 	624.94 	3227349
10/11/21	633.20 	639.42 	626.78 	627.04 	2862470
10/8/21	634.17 	643.80 	630.86 	632.66 	3272093
10/7/21	642.23 	646.84 	630.45 	631.85 	3556886
10/6/21	628.18 	639.87 	626.36 	639.10 	4580434
10/5/21	606.94 	640.39 	606.89 	634.81 	9534293
10/4/21	613.39 	626.13 	594.68 	603.35 	4995932
10/1/21	604.24 	614.99 	597.51 	613.15 	4090847
9/30/21	608.05 	619 	608.05 	610.34 	6616040
9/29/21	589.01 	609.88 	588.01 	599.06 	6221026
9/28/21	589 	599.54 	580.16 	583.85 	4431051
9/27/21	587.95 	593.58 	576.93 	592.64 	2504738
9/24/21	592.50 	592.98 	583.64 	592.39 	2126246
9/23/21	590.79 	599.32 	589.13 	593.26 	2526161
9/22/21	579.69 	595.65 	579.69 	590.65 	4021845
9/21/21	578.31 	581.88 	569.37 	573.14 	2250884
9/20/21	586.79 	591.53 	568.08 	575.43 	3732227
9/17/21	587.85 	590.28 	580.85 	589.35 	4145145
9/16/21	584.30 	587.48 	577.72 	586.50 	1832028
9/15/21	578.17 	584.62 	575.37 	582.87 	2755615
9/14/21	584.89 	587.28 	575.56 	577.76 	3456958
9/13/21	598.57 	598.57 	582.78 	589.29 	3062871
9/10/21	598.16 	609.45 	593.67 	598.72 	3950764
9/9/21	606.47 	609.44 	596.55 	597.54 	2954214
9/8/21	603.84 	615.60 	595.71 	606.05 	5424503
9/7/21	594.69 	613.85 	593.99 	606.71 	5830979
9/3/21	585.80 	591.88 	583.14 	590.53 	2684005
9/2/21	583.68 	598.76 	583.68 	588.55 	6184782
9/1/21	569 	591 	569 	582.07 	5626214
8/31/21	566.12 	569.48 	561.61 	569.19 	2431886
8/30/21	557.25 	567.16 	556.45 	566.18 	2434839
8/27/21	551.60 	564.17 	549.25 	558.92 	3252595
8/26/21	546.16 	552.60 	545.90 	550.12 	1595499
8/25/21	550.16 	552.84 	545.45 	547.58 	2065621
8/24/21	551.48 	555.31 	549.27 	553.41 	2109525
8/23/21	545.98 	555.55 	543.74 	553.33 	2602010
8/20/21	545.09 	551.39 	539.10 	546.88 	3776429
8/19/21	522.74 	548.39 	521.87 	543.71 	7497292
8/18/21	520 	526.38 	518.65 	521.87 	2582046
8/17/21	515.47 	520.79 	514.20 	518.91 	2309803
8/16/21	515.24 	523.38 	512.30 	517.92 	2033176
8/13/21	512.64 	521.44 	511.51 	515.92 	2177736
8/12/21	511.86 	513 	507.20 	510.72 	1686170
8/11/21	517 	519.57 	509.77 	512.40 	1673904
8/10/21	520 	520.79 	512.97 	515.84 	1960544
8/9/21	521.15 	522.67 	517.99 	519.97 	1367782
8/6/21	524 	526.84 	519.39 	520.55 	1919798
8/5/21	517.13 	525.41 	514.02 	524.89 	2556687
8/4/21	513 	517.98 	510.37 	517.35 	2039374
8/3/21	514.39 	515.63 	505.37 	510.82 	2579427
8/2/21	519 	519.85 	510.51 	515.15 	2096632
7/30/21	512.69 	519.79 	510.96 	517.57 	2537107
7/29/21	519.96 	520.78 	513.79 	514.25 	1736014
7/28/21	521.82 	524.47 	516.98 	519.30 	2390466
7/27/21	518.08 	521.95 	512.05 	518.91 	2759037
7/26/21	514.38 	521.13 	509.01 	516.49 	2254538
7/23/21	512.16 	517.41 	504.66 	515.41 	3820478
7/22/21	510.21 	513.68 	507 	511.77 	4328061
7/21/21	526.13 	530.99 	505.61 	513.63 	11906790
7/20/21	526.07 	536.64 	520.30 	531.05 	6930440
7/19/21	526.05 	534.91 	522.24 	532.28 	3885764
7/16/21	541.81 	544.06 	527.05 	530.31 	3442101
7/15/21	553.97 	557.54 	538.20 	542.95 	5713873
7/14/21	541.01 	554.10 	541.01 	547.95 	4659535
7/13/21	535.76 	545.33 	535.76 	540.68 	2751593
7/12/21	540.30 	540.65 	532.92 	537.31 	1780738
7/9/21	531 	538.26 	528.58 	535.98 	2777231
7/8/21	530.93 	535.50 	529.09 	530.76 	3268988
7/7/21	544.24 	544.64 	531.66 	535.96 	2722498
7/6/21	533 	542.86 	533 	541.64 	2775051
7/2/21	535.50 	538.54 	529.39 	533.98 	1980316
7/1/21	525.72 	537.04 	525.72 	533.54 	2805402
6/30/21	534.06 	534.38 	526.82 	528.21 	2773445
6/29/21	533.55 	536.13 	528.57 	533.50 	2314647
6/28/21	528.12 	533.94 	524.56 	533.03 	2820227
6/25/21	528.84 	533.06 	525 	527.07 	5299072
6/24/21	517.96 	520.96 	514.40 	518.06 	3361202
6/23/21	508.48 	516.63 	508.20 	512.74 	3944782
6/22/21	498.54 	513.55 	495.80 	508.82 	5809271
6/21/21	501.64 	502.05 	492.28 	497 	5277297
6/18/21	496.40 	504.49 	495.24 	500.77 	5197576
6/17/21	490.25 	501.80 	490.15 	498.34 	3198273
6/16/21	495 	496.46 	486.28 	492.41 	3533206
6/15/21	501.23 	501.23 	490.40 	491.90 	3104073
6/14/21	489.68 	503.50 	486.91 	499.89 	4400222
6/11/21	490 	491.41 	487.78 	488.77 	3123969
6/10/21	487.17 	490.21 	482.14 	487.27 	4382928
6/9/21	494.50 	496.09 	484.65 	485.81 	3055029
6/8/21	497 	498.82 	489.37 	492.39 	2374037
6/7/21	492.92 	496.70 	490.55 	494.66 	2791932
6/4/21	492 	501.86 	490.95 	494.74 	3160487
6/3/21	495.19 	496.66 	487.25 	489.43 	3887445
6/2/21	499.82 	503.22 	495.82 	499.24 	2268979
6/1/21	504.01 	505.41 	497.74 	499.08 	2482555
5/28/21	504.40 	511.76 	502.53 	502.81 	2911297
5/27/21	501.80 	505.10 	498.54 	503.86 	3253773
5/26/21	502.34 	504.14 	500.50 	502.36 	2465303
5/25/21	506 	506.37 	499.22 	501.34 	2699459
5/24/21	501.05 	504.25 	499.51 	502.90 	2412595
5/21/21	503.12 	505.40 	497.26 	497.89 	3322925
5/20/21	489.55 	502.70 	488.98 	501.67 	3721218
5/19/21	481.63 	488.57 	478.54 	487.70 	3349930
5/18/21	488.40 	493.48 	486.19 	486.28 	2350496
5/17/21	485.59 	492.71 	482.81 	488.94 	2701057
5/14/21	487.86 	494.85 	486.59 	493.37 	2882464
5/13/21	489.13 	490.78 	482.71 	486.66 	2716561
5/12/21	486.83 	493.54 	482.70 	484.98 	4121540
5/11/21	479.75 	497.99 	478.63 	495.08 	4401000
5/10/21	502 	503.15 	486.11 	486.69 	5131632
5/7/21	504.62 	508.55 	501.12 	503.84 	3132786
5/6/21	495.99 	499.55 	491.37 	499.55 	3783698
5/5/21	504.99 	507.78 	494.63 	496.08 	3129366
5/4/21	510.78 	511.63 	496.79 	503.18 	4349502
5/3/21	512.65 	518.95 	505.20 	509.11 	4091895
4/30/21	505 	514.55 	505 	513.47 	4413242
4/29/21	507.60 	509.29 	499 	509 	5127792
4/28/21	505.20 	508.40 	503.34 	506.52 	3192983
4/27/21	512.62 	512.99 	504.58 	505.55 	3761327
4/26/21	506.76 	510.48 	503 	510.30 	4388839
4/23/21	509.01 	509.70 	500.70 	505.55 	7314659
4/22/21	513.82 	513.96 	500.55 	508.78 	9061062
4/21/21	508 	515.46 	503.60 	508.90 	22897450
4/20/21	554.42 	563.56 	546.30 	549.57 	11257650
4/19/21	546.90 	556.44 	545.53 	554.44 	4288715
4/16/21	550.54 	551.98 	539.51 	546.54 	3209075
4/15/21	544.17 	553.49 	542.66 	549.22 	3139050
4/14/21	554.87 	554.87 	538.53 	540.02 	3740294
4/13/21	557 	559.75 	550.30 	553.73 	2720344
4/12/21	551.05 	557.98 	549.58 	552.78 	2944060
4/9/21	552.69 	556.90 	547.11 	555.31 	2894034
4/8/21	551.13 	556.90 	547.57 	554.58 	4309829
4/7/21	543.50 	549.64 	541.45 	546.99 	2151319
